Title,Video ID,Duration,Views,Published At
Integrais: aulão de revisão,B93pN0SoW9U,PT1H20M18S,436,2022-12-09T10:55:56Z
Revisão: aplicações de derivadas,VBxjuhgL9Q8,PT1H41M5S,289,2022-11-26T06:16:58Z
Derivação Implícita,zgVG2_NO7xQ,PT1H25M2S,265,2022-10-19T11:48:27Z
Série de Fourier: Exercícios resolvido,CXmdFSyA4kU,PT1H32M51S,1184,2022-10-19T10:45:01Z
Série de Fourier,m1xQzV0KpMM,PT1H26M13S,428,2022-10-15T08:53:55Z
Cálculo - Regra da Cadeia,rPZsagRth8Y,PT1H25M2S,336,2022-10-15T06:04:58Z
Regra da Cadeia - Exercícios Resolvidos VII,hvlMF67UhPg,PT6M36S,67,2022-10-14T11:00:27Z
Regra da Cadeia - Exercícios Resolvidos VI,bSVSk3-SEOk,PT5M59S,44,2022-10-13T21:00:23Z
Regra da Cadeia - Exercícios Resolvidos V,SHz24u3Lm30,PT4M7S,34,2022-10-13T15:00:14Z
Regra da Cadeia - Exercícios Resolvidos IV,2xV6rmJSTJI,PT4M36S,33,2022-10-13T11:00:01Z
Regra da Cadeia - Exercícios Resolvidos III,_LwcnZ1oRTg,PT4M21S,31,2022-10-12T21:00:14Z
Regra da Cadeia - Exercícios Resolvidos II,z_fJiDlQcVg,PT7M35S,38,2022-10-12T15:00:44Z
Regra da Cadeia - Exercícios Resolvidos I,Td1wHBdGQlU,PT4M19S,47,2022-10-12T11:00:17Z
"Sequências, Séries e Séries de funções",wI7E27WeThs,PT2H24M20S,555,2022-09-24T09:52:35Z
Exercício resolvido: derivada e o crescimento da função,tzC1jfIvSao,PT3M55S,81,2022-09-16T09:22:15Z
Exercício resolvido: Fermat encontrava máximos e mínimos antes da invenção do cálculo!,DlWht3wTnlk,PT6M11S,129,2022-09-16T08:53:48Z
Derivada e o problema da tangente,Lmvnd46Fbac,PT12M48S,136,2022-09-12T19:08:13Z
Cálculo  aula 1 | O problema da área,wp_lMpqnrdI,PT15M14S,592,2022-09-02T12:54:16Z
Exercício cálculo 1 - Cálculo de área com método da exaustão,zrORhTQ5CZ0,PT19M6S,419,2022-09-02T12:55:18Z
Teorema de Stokes e Teorema do Divergente,_yCPYkvKUPI,PT1H50M10S,375,2022-03-11T11:59:32Z
Integral de superfície vetorial,dYaMETZP7ks,PT1H13M42S,230,2022-03-08T12:20:55Z
Clusterização de dados | Aplicações,F5xXTXTKzFg,PT12M40S,707,2022-02-18T17:43:41Z
Introdução ao problema de dados faltantes | Imputação de dados | Data Science,0TIzjE40eZo,PT10M17S,922,2022-02-16T22:32:52Z
Campos conservativos e Teorema de Green,cJbv3ZNlzeg,PT1H4M12S,251,2022-02-15T12:06:55Z
Gradiente Descendente | Machine Learning,5o24RyAVmZM,PT13M38S,740,2022-02-03T10:55:53Z
Integral de linha,ipvo0kKPdCA,PT1H19M40S,292,2022-02-01T12:48:25Z
"Acurácia, precisão e revocação | Matriz de confusão",Edzs9FQL5k0,PT17M12S,1436,2022-01-28T17:13:01Z
Aulão: Integrais duplas e triplas,dCQ8jTB33UA,PT2H18M13S,470,2021-12-07T00:30:08Z
Introdução ao pandas no python - pandas series,V8878xE83b0,PT23M38S,209,2021-11-30T20:34:10Z
Machine Learning tutorial - prática,zIufuAzNVSQ,PT21M48S,123,2021-11-30T20:29:12Z
Teorema de Stokes | Exercícios resolvidos,SYif6CC10Zs,PT20M52S,3757,2021-09-20T21:43:12Z
Integral de superfície vetorial - Live,LuOBdupQ2Jc,PT1H8M39S,412,2021-09-16T23:16:32Z
Superfície orientável,m7O-lnCZ0nw,PT8M45S,733,2021-09-10T19:01:05Z
Integral de superfície - Live,tu5TOGkpc84,PT1H23M35S,399,2021-09-08T12:32:15Z
Integral de superfície vetorial - fluxo através da esfera,dgFRccHj7Wo,PT23M38S,2388,2021-09-06T11:51:40Z
Teorema de Green - Live,JlDYr1Z0Ypw,PT1H2M3S,432,2021-09-03T11:04:07Z
integral superficie escalar aula1,BuAqkcDJH-E,PT21M40S,601,2021-09-02T21:15:45Z
Campos conservativos - exercícios resolvidos,DJ4AZkIEzEI,PT49M21S,886,2021-08-27T10:54:24Z
Integral de linha de campos vetoriais,yHoglY3hj4s,PT1H16M59S,617,2021-08-20T11:22:56Z
Teorema de Green,3VAI-NPtahE,PT11M38S,786,2021-08-16T20:45:47Z
Integral de linha de campo conservativo - exemplo difícil,WbrDyskPGvI,PT16M29S,757,2021-08-16T15:07:07Z
Integral de linha,M-LA9y2SGfY,PT55M10S,421,2021-08-13T10:58:59Z
Curvas Paramétricas &amp; Integral de linha escalar,t5VxJMpK1qk,PT55M10S,349,2021-08-06T10:59:05Z
Integral linha vetorial - exemplos,DdDdOmWa7mk,PT13M47S,549,2021-08-01T17:33:19Z
Coordenadas esféricas - exercícios resolvidos,ctF5TxTEGJg,PT1H19M7S,3303,2021-07-30T11:29:08Z
integral linha escalar aplicações - momento de inércia e centro de massa,Hvlrck-TjxI,PT18M34S,1664,2021-07-29T15:12:06Z
Integral de linha escalar,M4zquVqWkdk,PT14M59S,603,2021-07-26T06:35:19Z
Parametrização por comprimento de arco,4DOoIlwULk4,PT10M20S,713,2021-07-26T05:57:35Z
Comprimento de arco - curvas paramétricas,yb5ZKaFe--A,PT14M21S,645,2021-07-26T05:55:12Z
Coordenadas cilíndricas &amp; Curvas Paramétricas,fMnXBbjv6dQ,PT1H6M11S,424,2021-07-23T11:09:35Z
