Title,Video ID,Duration,Views
Integrais: aulão de revisão,B93pN0SoW9U,PT1H20M18S,436
Revisão: aplicações de derivadas,VBxjuhgL9Q8,PT1H41M5S,289
Derivação Implícita,zgVG2_NO7xQ,PT1H25M2S,265
Série de Fourier: Exercícios resolvido,CXmdFSyA4kU,PT1H32M51S,1184
Série de Fourier,m1xQzV0KpMM,PT1H26M13S,428
Cálculo - Regra da Cadeia,rPZsagRth8Y,PT1H25M2S,336
Regra da Cadeia - Exercícios Resolvidos VII,hvlMF67UhPg,PT6M36S,67
Regra da Cadeia - Exercícios Resolvidos VI,bSVSk3-SEOk,PT5M59S,44
Regra da Cadeia - Exercícios Resolvidos V,SHz24u3Lm30,PT4M7S,34
Regra da Cadeia - Exercícios Resolvidos IV,2xV6rmJSTJI,PT4M36S,33
Regra da Cadeia - Exercícios Resolvidos III,_LwcnZ1oRTg,PT4M21S,31
Regra da Cadeia - Exercícios Resolvidos II,z_fJiDlQcVg,PT7M35S,38
Regra da Cadeia - Exercícios Resolvidos I,Td1wHBdGQlU,PT4M19S,47
"Sequências, Séries e Séries de funções",wI7E27WeThs,PT2H24M20S,555
Exercício resolvido: derivada e o crescimento da função,tzC1jfIvSao,PT3M55S,81
Exercício resolvido: Fermat encontrava máximos e mínimos antes da invenção do cálculo!,DlWht3wTnlk,PT6M11S,129
Derivada e o problema da tangente,Lmvnd46Fbac,PT12M48S,136
Cálculo  aula 1 | O problema da área,wp_lMpqnrdI,PT15M14S,592
Exercício cálculo 1 - Cálculo de área com método da exaustão,zrORhTQ5CZ0,PT19M6S,419
Teorema de Stokes e Teorema do Divergente,_yCPYkvKUPI,PT1H50M10S,375
Integral de superfície vetorial,dYaMETZP7ks,PT1H13M42S,230
Clusterização de dados | Aplicações,F5xXTXTKzFg,PT12M40S,707
Introdução ao problema de dados faltantes | Imputação de dados | Data Science,0TIzjE40eZo,PT10M17S,922
Campos conservativos e Teorema de Green,cJbv3ZNlzeg,PT1H4M12S,251
Gradiente Descendente | Machine Learning,5o24RyAVmZM,PT13M38S,740
Integral de linha,ipvo0kKPdCA,PT1H19M40S,292
"Acurácia, precisão e revocação | Matriz de confusão",Edzs9FQL5k0,PT17M12S,1436
Aulão: Integrais duplas e triplas,dCQ8jTB33UA,PT2H18M13S,470
Introdução ao pandas no python - pandas series,V8878xE83b0,PT23M38S,209
Machine Learning tutorial - prática,zIufuAzNVSQ,PT21M48S,123
Teorema de Stokes | Exercícios resolvidos,SYif6CC10Zs,PT20M52S,3757
Integral de superfície vetorial - Live,LuOBdupQ2Jc,PT1H8M39S,412
Superfície orientável,m7O-lnCZ0nw,PT8M45S,733
Integral de superfície - Live,tu5TOGkpc84,PT1H23M35S,399
Integral de superfície vetorial - fluxo através da esfera,dgFRccHj7Wo,PT23M38S,2388
Teorema de Green - Live,JlDYr1Z0Ypw,PT1H2M3S,432
integral superficie escalar aula1,BuAqkcDJH-E,PT21M40S,601
Campos conservativos - exercícios resolvidos,DJ4AZkIEzEI,PT49M21S,886
Integral de linha de campos vetoriais,yHoglY3hj4s,PT1H16M59S,617
Teorema de Green,3VAI-NPtahE,PT11M38S,786
Integral de linha de campo conservativo - exemplo difícil,WbrDyskPGvI,PT16M29S,757
Integral de linha,M-LA9y2SGfY,PT55M10S,421
Curvas Paramétricas &amp; Integral de linha escalar,t5VxJMpK1qk,PT55M10S,349
Integral linha vetorial - exemplos,DdDdOmWa7mk,PT13M47S,549
Coordenadas esféricas - exercícios resolvidos,ctF5TxTEGJg,PT1H19M7S,3303
integral linha escalar aplicações - momento de inércia e centro de massa,Hvlrck-TjxI,PT18M34S,1664
Integral de linha escalar,M4zquVqWkdk,PT14M59S,603
Parametrização por comprimento de arco,4DOoIlwULk4,PT10M20S,713
Comprimento de arco - curvas paramétricas,yb5ZKaFe--A,PT14M21S,645
Coordenadas cilíndricas &amp; Curvas Paramétricas,fMnXBbjv6dQ,PT1H6M11S,424
"Curvas paramétricas - reta, seção cônica (elipse), hélice circular e cicloide",k8ku7to1cZ8,PT14M39S,701
"Curvas paramétricas - cálculo 2, cálculo 3 e cálculo vetorial",zIBQFs_Ec74,PT15M55S,1037
Coordenadas esféricas - Integral Tripla,CFuX9wZigKw,PT18M23S,1196
Coordenadas esféricas - exemplos,uzKhztOJOwc,PT15M22S,1631
Coordenadas esféricas,boIEESX7nW0,PT12M26S,849
Coordenadas cilíndricas,m74lmWvmhRA,PT52M6S,468
Setor da Elipse - Coordenadas polares,UfkYPrY49MA,PT34M41S,1201
Coordenadas cilíndricas - Integral tripla,Ud0XQjvfQ58,PT14M25S,385
Integral tripla - Exercício resolvido 3 - Cálculo de quantidade de carga,lBmpyz1xe3c,PT14M32S,714
Integral tripla - Exercício resolvido 2 - Cálculo de quantidade massa,0ByVT-TlRYo,PT14M13S,926
Volume entre cones elípticos &amp; Integral dupla com mudança de variáveis,KAM9stVmdoE,PT54M55S,493
"Integral dupla: jacobiano, mudança de variável em formato de elipse e volumes.",pRVkjf77jT4,PT2H4M51S,1707
Integral tripla - Exercício resolvido 1,npr34ePcBVo,PT15M42S,1807
Área &amp; volume entre esfera e cilindro,p48tXUqzvJE,PT49M34S,1904
Área de superfície entre cilindros - Integral dupla | Live,vf5Lez77K_s,PT25M33S,1454
Jacobiano Integral dupla #Área da Elipse,l_rZ38pN53s,PT19M10S,2578
"Jacobiano integral dupla - Coordenadas polares, círculo fora da origem",J3vNvJCiUkE,PT12M42S,4107
Integral dupla - Coordenadas polares | cálculo de volumes,mrB85PPLC5c,PT55M33S,650
Jacobiano integral dupla | Cálculo de volume,LRpw2cNxYeo,PT21M49S,5297
Integral dupla invertendo a ordem de integração | Exercícios resolvidos,LyKSIkCSXAc,PT59M48S,1540
"Integral dupla | Exercícios resolvidos | Volume entre planos | Lista  2, exercícios 10 e 15",0zZhjRU6qZA,PT44M58S,1051
"Aulão de revisão | Integrais de Linha | Integrais de superfície | Green, Gauss &amp; Stokes",_2Ch-ohTxYs,PT2H19M26S,1954
Teorema de Stokes,vOtgNedbb8E,PT22M12S,2208
Integral tripla | lista 7 | Integrais iteradas | Momento de inércia cone | Centro de gravidade,P1ZkbC8wrNA,PT1H16M55S,1275
Integral tripla | Aula 02 | Integral iterada | Regiões de integração convenientes,WhexLs8CyGo,PT7M3S,1041
Integral tripla | Exemplo 1 | Visualização de região entre plano e paraboloide,Hzrjkn6gsDM,PT14M57S,1309
Integral tripla | coordenadas esféricas | Exemplo 01 | Região situada entre cone e esfera,86i1dQbLqwE,PT13M5S,1520
Definição de integral tripla,t-Q8QQE0QxU,PT17M51S,1046
Integral tripla | coordenadas esféricas,2iDBXtBrGxA,PT11M24S,737
Integral tripla | coordenadas cilíndricas | Exemplo 1,A3xvteV_ByA,PT10M34S,591
Integral tripla | coordenadas cilíndricas,KOD3tw1ovo4,PT13M34S,599
Exercícios resolvidos | Área de superfície | Lista 5,3Pl8WhvGpAA,PT1H20M7S,1895
